id,notaventa,monto,tipo
566,22112,7000,"Mercado Libre"
567,22113,1,Efectivo
568,22114,5548,Efectivo
569,22115,0,Efectivo
570,22116,290363,"Contra Entrega"
571,22117,0,Efectivo
572,22118,0,Efectivo
573,22118,0,Efectivo
574,22119,39000,Tarjeta
575,22120,186500,"Mercado Libre"
576,22120,6000,"Contra Entrega"
577,22121,0,Efectivo
578,22121,0,Efectivo
579,22122,28663,"Mercado Libre"
580,22123,3833,"Mercado Libre"
581,22124,28663,"Mercado Libre"
582,22125,173250,"Transferencia Bancaria"
583,22126,44100,"Mercado Libre"
584,22127,3833,"Mercado Libre"
585,22128,3833,"Mercado Libre"
586,22129,9137,"Mercado Libre"
587,22130,504000,Efectivo
588,22131,179000,Tarjeta
589,22131,2500,Efectivo
590,22132,3833,"Mercado Libre"
591,22133,300000,"Transferencia Bancaria"
592,22134,11094,"Mercado Libre"
593,22135,308588,Tarjeta
594,22136,46200,"Mercado Libre"
595,22137,312500,"Mercado Libre"
596,22138,59940,Efectivo
597,22139,59400,"Mercado Libre"
598,22140,541,Dolares
599,22141,90000,Efectivo
600,22141,104680,Mercadopago
601,22143,940000,"Contra Entrega"
602,22143,38000,Efectivo
603,22144,25080,Efectivo
604,22145,3833,"Mercado Libre"
605,22146,29200,"Mercado Libre"
606,22150,28663,"Mercado Libre"
607,22151,9137,"Mercado Libre"
608,22152,329800,ECheck
609,22153,219,"Contra Entrega"
610,22154,6000,Efectivo
611,22155,229999,"Contra Entrega"
612,22156,5300,Efectivo
613,22157,24000,Efectivo
614,22158,68175,Tarjeta
615,22159,0,Efectivo
616,22160,350800,Efectivo
617,22161,389,"Contra Entrega"
618,22162,210200,Efectivo
619,22162,5500,"Contra Entrega"
620,22163,225000,Efectivo
621,22164,150000,Tarjeta
622,22165,39000,"Mercado Libre"
623,22166,40862,"Mercado Libre"
624,22167,23151,"Mercado Libre"
625,22168,28663,"Mercado Libre"
626,22169,197.68,Efectivo
627,22170,40500,"Mercado Libre"
628,22171,28663,"Mercado Libre"
629,22172,57387,Mercadopago
630,22173,33393,"Mercado Libre"
631,22174,151000,Efectivo
632,22175,28663,"Mercado Libre"
633,22176,2000,"Mercado Libre"
634,22177,0,Efectivo
635,22178,29900,"Mercado Libre"
636,22179,7669,"Mercado Libre"
637,22180,175440,"Mercado Libre"
638,22181,28663,"Mercado Libre"
639,22182,127000,Cheque
640,22183,6528,Mercadopago
641,22184,112000,Cheque
642,22186,171625,Tarjeta
643,22188,65270,"Mercado Libre"
644,22189,134400,ECheck
645,22190,2600,Efectivo
646,22191,231601,Tarjeta
647,22192,196534,Mercadopago
